,index_jjj,index_spotify,year_x,title,artist,duration,country,position of year,name,artists,year_y,release_date,duration_ms,valence,danceability,speechiness
39,60,154829,1993,Last Train (Master Mix) (With Paul Kelly),Christine Anu,4:26,Australia,61,"Last Thing I Needed, First Thing This Morning",['Chris Stapleton'],2017,2017-05-05,255027,0.221,0.535,0.03
40,61,14176,1993,Easy,Faith No More,3:07,USA,62,Easy,['Faith No More'],1992,1992,186960,0.375,0.506,0.0339
41,63,14158,1993,Nearly Lost You,Screaming Trees,4:07,USA,64,Nearly Lost You,['Screaming Trees'],1992,1992,247093,0.434,0.166,0.11900000000000001
42,64,33129,1993,Regret,New Order,4:08,England,65,Regret - 2015 Remaster,['New Order'],1993,1993-05-03,248973,0.865,0.506,0.0305
43,65,135226,1993,Something Good,Utah Saints,5:57,England,66,Something Good,['Utah Saints'],1992,1992-01-01,355880,0.507,0.53,0.0423
44,66,135839,1993,Boom Shack-A-Lak,Apache Indian,3:50,England,67,Boom Shack-A-Lak,['Apache Indian'],1995,1995-01-01,271333,0.9009999999999999,0.764,0.0298
45,67,33122,1993,Mr. Vain,Culture Beat,5:37,Germany,68,Mr. Vain - Original Radio Edit,['Culture Beat'],1993,1993-01-01,257467,0.391,0.703,0.0399
46,70,166766,1993,Nothingness (Colour Mix),Living Colour,3:50,USA,71,Nothing Less (feat. Slug),['Living Legends'],2001,2001-10-10,269360,0.539,0.804,0.307
47,72,32997,1993,Mr. Wendal,Arrested Development,4:08,USA,73,Mr. Wendal,['Arrested Development'],1992,1992-03-24,247507,0.883,0.884,0.11199999999999999
48,78,14125,1993,Mrs. Robinson,The Lemonheads,3:46,USA,79,Mrs. Robinson - Remastered,['The Lemonheads'],1992,1992,224480,0.8340000000000001,0.494,0.0398
49,79,14012,1993,Rooster,Alice In Chains,6:15,USA,80,Rooster,['Alice In Chains'],1992,1992-09-29,374333,0.20199999999999999,0.26899999999999996,0.0274
50,80,14225,1993,Insane In The Brain,Cypress Hill,3:29,USA,81,Insane in the Brain,['Cypress Hill'],1993,1993-07-20,208267,0.767,0.897,0.21100000000000002
51,83,14151,1993,Bullet In The Head,Rage Against The Machine,5:09,USA,84,Bullet In The Head,['Rage Against The Machine'],1992,1992,306680,0.397,0.431,0.15
52,84,33282,1993,Three Little Pigs,Green Jellÿ,4:38,USA,85,Three Little Pigs,['Green Jelly'],1993,1993-02-25,353640,0.33899999999999997,0.449,0.225
53,89,86797,1993,For Tomorrow,Blur,4:21,England,90,For Tomorrow - 2012 Remaster,['Blur'],1993,1993-05-10,261240,0.653,0.631,0.0285
54,91,51852,1993,I Feel You,Depeche Mode,4:36,England,92,I Feel You - 2006 Remaster,['Depeche Mode'],1993,1993-03-22,276080,0.141,0.45399999999999996,0.0912
55,893,51852,2001,I Feel Loved,Depeche Mode,4:23,England,94,I Feel You - 2006 Remaster,['Depeche Mode'],1993,1993-03-22,276080,0.141,0.45399999999999996,0.0912
56,92,14071,1993,Man On The Moon,R.E.M.,5:14,USA,93,Man On The Moon,['R.E.M.'],1992,1992-10-05,314173,0.655,0.667,0.026000000000000002
57,93,36613,1993,Sweat (A La La La La Long),Inner Circle,3:46,Jamaica,94,Sweat (A La La La La Long),['Inner Circle'],2010,2010-12-14,227067,0.94,0.787,0.218
58,95,86674,1993,Candy Everybody Wants,"10,000 Maniacs",3:08,USA,96,Candy Everybody Wants,"['10,000 Maniacs']",1992,1992,185960,0.867,0.622,0.0305
59,100,14410,1994,Zombie,The Cranberries,5:06,Ireland,1,Zombie,['The Cranberries'],1994,1994-10-03,306427,0.304,0.307,0.0339
60,101,14428,1994,Closer,Nine Inch Nails,6:13,USA,2,Closer,['Nine Inch Nails'],1994,1994-03-08,373000,0.541,0.547,0.044000000000000004
61,102,14516,1994,Self Esteem,The Offspring,4:18,USA,3,Self Esteem,['The Offspring'],1994,1994-04-08,257827,0.706,0.488,0.0476
62,103,16700,1994,Come Out And Play (Keep 'Em   Separated),The Offspring,3:18,USA,4,Come Out And Play (Keep ‘Em Separated),['The Offspring'],2005,2005-06-21,197800,0.847,0.47600000000000003,0.161
63,104,14655,1994,Tomorrow,Silverchair,4:26,Australia,5,Tomorrow,['Silverchair'],1995,1995-03-27,266280,0.462,0.292,0.0316
64,105,14589,1994,Seether,Veruca Salt,3:17,USA,6,Seether,['Veruca Salt'],1994,1994-01-01,196573,0.632,0.612,0.0463
65,106,14548,1994,About A Girl,Nirvana,3:38,USA,7,About A Girl,['Nirvana'],1994,1994-11-01,218000,0.593,0.606,0.0713
66,110,119789,1994,Do You Love Me?,Nick Cave & The Bad Seeds,5:56,Australia,11,Do You Love Me? - 2011 Remastered Version,['Nick Cave & The Bad Seeds'],1994,1994-04-18,357173,0.696,0.469,0.0311
67,111,14329,1994,Laid,James,2:37,England,12,Laid,['James'],1993,1993,156667,0.755,0.457,0.0317
68,114,14239,1994,All I Wanna Do,Sheryl Crow,4:34,USA,15,All I Wanna Do,['Sheryl Crow'],1993,1993-08-03,272107,0.9309999999999999,0.82,0.0321
69,115,14422,1994,Sabotage,Beastie Boys,2:58,USA,16,Sabotage,['Beastie Boys'],1994,1994-05-23,178440,0.5429999999999999,0.324,0.102
70,116,14421,1994,Interstate Love Song,Stone Temple Pilots,3:15,USA,17,Interstate Love Song - 2019 Remaster,['Stone Temple Pilots'],1994,1994-06-07,194853,0.49,0.215,0.0452
71,117,14453,1994,Longview,Green Day,3:59,USA,18,Longview,['Green Day'],1994,1994-02-01,233240,0.8140000000000001,0.381,0.0536
72,121,14412,1994,Black Hole Sun,Soundgarden,5:19,USA,22,Black Hole Sun,['Soundgarden'],1994,1994-03-09,318587,0.147,0.35,0.040999999999999995
73,123,14411,1994,Basket Case,Green Day,3:03,USA,24,Basket Case,['Green Day'],1994,1994-02-01,181533,0.7809999999999999,0.442,0.0602
74,124,14227,1994,Today,The Smashing Pumpkins,3:21,USA,25,Today - Remastered,['The Smashing Pumpkins'],1993,1993,201173,0.415,0.456,0.0268
75,126,14493,1994,I Alone,Live,3:51,USA,27,I Alone,['Live'],1994,1994-01-01,231133,0.0992,0.396,0.045
76,233,14493,1995,I Alone,Live,3:51,USA,34,I Alone,['Live'],1994,1994-01-01,231133,0.0992,0.396,0.045
77,127,14540,1994,Doll Parts,Hole,3:31,USA,28,Doll Parts,['Hole'],1994,1994-01-01,211960,0.365,0.245,0.0324
78,128,103506,1994,Beercan,Beck,4:00,USA,29,Beercan,['Beck'],1994,1994-03-01,240320,0.575,0.773,0.185
79,131,14211,1994,Fade Into You,Mazzy Star,4:54,USA,32,Fade Into You,['Mazzy Star'],1993,1993-10-05,295600,0.175,0.42,0.0275
80,132,69925,1994,Supernova,Liz Phair,2:49,USA,33,Supernova,['Liz Phair'],1994,1994-01-01,168840,0.705,0.517,0.0363
81,133,33514,1994,Miss World,Hole,3:00,USA,34,Miss World,['Hole'],1994,1994-01-01,180067,0.349,0.331,0.0408
82,134,33349,1994,Cornflake Girl,Tori Amos,5:08,USA,35,Cornflake Girl,['Tori Amos'],1994,1994-01-31,305493,0.812,0.631,0.0274
83,135,70004,1994,Spin The Black Circle,Pearl Jam,2:48,USA,36,Spin the Black Circle - Remastered,['Pearl Jam'],1994,1994-11-22,167613,0.141,0.23600000000000002,0.095
84,136,87052,1994,Voodoo People,The Prodigy,4:08,England,37,Voodoo People (Remastered),['The Prodigy'],1994,1994,387067,0.32,0.667,0.065
85,139,14452,1994,Undone - The Sweater Song,Weezer,5:06,USA,40,Undone - The Sweater Song,['Weezer'],1994,1994-05-10,305533,0.579,0.457,0.0296
86,140,165438,1994,Your Ghost,Kristin Hersh,3:16,USA,41,Your Ghost,['Kristin Hersh'],1994,1994-01-28,197333,0.32799999999999996,0.439,0.0339
87,144,14419,1994,Loser,Beck,3:56,USA,45,Loser,['Beck'],1994,1994-03-01,235000,0.7859999999999999,0.654,0.11900000000000001
