,index_jjj,index_spotify,year_x,title,artist,duration,country,position of year,name,artists,year_y,release_date,duration_ms,valence,danceability,speechiness
168,291,52265,1995,Sick Of Myself,Matthew Sweet,3:39,USA,92,Sick of Myself,['Matthew Sweet'],1995,1995-03-02,218560,0.8220000000000001,0.433,0.044000000000000004
169,294,33512,1995,Protection,Massive Attack,7:52,England,95,Protection,"['Massive Attack', 'Tracey Thorn']",1994,1994-09-26,471560,0.737,0.5770000000000001,0.0489
170,298,14418,1995,When I Come Around,Green Day,2:58,USA,99,When I Come Around,['Green Day'],1994,1994-02-01,178000,0.8140000000000001,0.531,0.034
171,300,170653,1996,Buy Me A   Pony,Spiderbait,1:44,Australia,1,Buy Me A Pony,['Spiderbait'],1996,1996-09-16,104000,0.9740000000000001,0.485,0.040999999999999995
172,301,14841,1996,Stinkfist,Tool,5:11,USA,2,Stinkfist,['TOOL'],1996,1996-09-17,312120,0.467,0.28600000000000003,0.0616
173,302,135821,1996,Underground,Ben Folds Five,4:11,USA,3,Underground,['Ben Folds Five'],1995,1995-01-01,251293,0.322,0.568,0.0394
174,303,14831,1996,Pepper,Butthole Surfers,4:57,USA,4,Pepper,['Butthole Surfers'],1996,1996-01-01,297267,0.6709999999999999,0.631,0.166
175,304,18527,1996,Glycerine,Bush,4:28,England,5,Glycerine,['Bush'],2014,2014-10-14,266493,0.0784,0.4370000000000001,0.0326
176,306,15184,1996,Breathe,The Prodigy,5:35,England,7,Breathe,['The Prodigy'],1997,1997,334800,0.32,0.679,0.0498
177,308,14971,1996,El Scorcho,Weezer,4:06,USA,9,El Scorcho,['Weezer'],1996,1996-09-24,243467,0.6609999999999999,0.479,0.0659
178,310,14672,1996,Down,311,2:52,USA,11,Down,['311'],1995,1995-07-11,172160,0.565,0.441,0.0655
179,311,135857,1996,Born Slippy .NUXX (short ii)   [... short],Underworld,3:46,England,12,Born Slippy (Nuxx) - Radio Edit,['Underworld'],1995,1995-01-01,264187,0.35100000000000003,0.542,0.0421
180,312,53534,1996,1979,The Smashing Pumpkins,4:26,USA,13,1979,['The Smashing Pumpkins'],2001,2001-01-01,263573,0.9640000000000001,0.768,0.033
181,313,70323,1996,Scooby Snacks,Fun Lovin' Criminals,3:05,USA,14,Scooby Snacks,"[""Fun Lovin' Criminals""]",1996,1996-02-20,184000,0.293,0.76,0.0339
182,316,33949,1996,Firestarter,The Prodigy,4:43,England,17,Firestarter,['The Prodigy'],1997,1997,279800,0.379,0.534,0.0793
183,318,123703,1996,Swallowed,Bush,4:51,England,19,Swallowed,['Bush'],2014,2014,291053,0.131,0.24100000000000002,0.0353
184,323,16434,1996,Santa Monica,Everclear,3:12,USA,24,Santa Monica - Remastered,['Everclear'],2004,2004-01-01,191493,0.33,0.419,0.11699999999999999
185,324,14626,1996,Just A Girl,No Doubt,3:29,USA,25,Just A Girl,['No Doubt'],1995,1995-10-10,209200,0.767,0.638,0.0504
186,325,165956,1996,Setting Sun (feat. Noel   Gallagher),The Chemical Brothers,5:29,England,26,Setting Sun,['The Chemical Brothers'],1997,1997-01-01,328733,0.248,0.446,0.223
187,326,14833,1996,The Distance,Cake,3:00,USA,27,The Distance,['Cake'],1996,1996-09-17,179653,0.888,0.46299999999999997,0.0891
188,328,33762,1996,Devils Haircut,Beck,3:16,USA,29,Devils Haircut,['Beck'],1996,1996-06-18,195440,0.797,0.684,0.0283
189,333,33843,1996,Mother Mother,Tracy Bonham,3:00,USA,34,Mother Mother,['Tracy Bonham'],1996,1996-03-19,180733,0.622,0.368,0.0618
190,335,14926,1996,Standing Outside A Broken   Phone Booth With Money In My Hand,Primitive Radio Gods,5:39,USA,36,Standing Outside a Broken Phone Booth with Money in My Hand,['Primitive Radio Gods'],1996,1996-06-05,336800,0.429,0.725,0.0409
191,336,17004,1996,Virtual Insanity,Jamiroquai,5:41,England,37,Virtual Insanity - Remastered,['Jamiroquai'],2006,2006-11-06,229360,0.515,0.662,0.10800000000000001
192,337,37398,1996,Comedown,Bush,5:27,England,38,Comedown,['Bush'],2014,2014-10-14,326667,0.38,0.46,0.0557
193,338,52410,1996,Novocaine For The Soul,Eels,3:10,USA,39,Novocaine For The Soul,['Eels'],1996,1996-08-13,188693,0.311,0.409,0.0395
194,340,87480,1996,Whoever You Are,Geggy Tah,4:34,USA,41,Whoever You Are,['Geggy Tah'],1996,1996,274000,0.514,0.8109999999999999,0.0437
195,342,14954,1996,Where It's At,Beck,5:31,USA,43,Where It's At,['Beck'],1996,1996-06-18,330947,0.532,0.68,0.0536
196,343,87431,1996,Salvation,The Cranberries,2:24,Ireland,44,Salvation,['The Cranberries'],1996,1996-04-30,142907,0.889,0.341,0.0861
197,344,14134,1996,Aneurysm,Nirvana,4:32,USA,45,Aneurysm,['Nirvana'],1992,1992-01-01,275600,0.235,0.298,0.0816
198,345,14810,1996,Bulls On Parade,Rage Against The Machine,3:51,USA,46,Bulls On Parade,['Rage Against The Machine'],1996,1996-04-16,229467,0.5720000000000001,0.41200000000000003,0.184
199,346,52404,1996,Popular,Nada Surf,3:41,USA,47,Popular,['Nada Surf'],1996,1996-06-18,220587,0.29600000000000004,0.444,0.11900000000000001
200,349,14728,1996,Only Happy When It Rains,Garbage,3:57,USA,50,Only Happy When It Rains,['Garbage'],1995,1995,236533,0.486,0.511,0.0323
201,350,14949,1996,Until It Sleeps,Metallica,4:30,USA,51,Until It Sleeps,['Metallica'],1996,1996-06-04,269573,0.728,0.562,0.0293
202,351,33626,1996,Hyperballad,Björk,5:21,Iceland,52,Hyperballad,['Björk'],1995,1995-06-13,321360,0.0356,0.519,0.0325
203,352,87478,1996,If I Could Talk I'd Tell You,The Lemonheads,2:51,USA,53,If I Could Talk I'd Tell You,['The Lemonheads'],1996,1996,170907,0.701,0.498,0.0323
204,353,14639,1996,"Tonight, Tonight",The Smashing Pumpkins,4:15,USA,54,"Tonight, Tonight - Remastered 2012",['The Smashing Pumpkins'],1995,1995,254627,0.217,0.27699999999999997,0.0376
205,355,70328,1996,"Hail, Hail",Pearl Jam,3:42,USA,56,"Hail, Hail",['Pearl Jam'],1996,1996-08-06,221147,0.235,0.355,0.0776
206,361,33784,1996,Hero Of The Day,Metallica,4:22,USA,62,Hero Of The Day,['Metallica'],1996,1996-06-04,261693,0.777,0.35100000000000003,0.0357
207,362,70342,1996,Punk Rock Song,Bad Religion,2:27,USA,63,Punk Rock Song,['Bad Religion'],1996,1996-02-27,147173,0.716,0.318,0.0806
208,364,33756,1996,Here In Your Bedroom,Goldfinger,3:11,USA,65,Here In Your Bedroom,['Goldfinger'],1996,1996,190800,0.945,0.489,0.0398
209,370,52237,1996,Disco 2000,Pulp,4:34,England,71,Disco 2000,['Pulp'],1995,1995-10-30,273573,0.544,0.565,0.0725
210,373,87528,1996,"Lay, Lady, Lay",Ministry,5:44,USA,74,Lay Lady Lay,['Ministry'],1996,1996-01-26,344600,0.324,0.409,0.0316
211,375,14662,1996,In The Meantime,Spacehog,5:00,England,76,In the Meantime,['Spacehog'],1995,1995,299507,0.16,0.26899999999999996,0.11800000000000001
212,376,14883,1996,Burden In My Hand,Soundgarden,4:50,USA,77,Burden In My Hand,['Soundgarden'],1996,1996-05-21,290107,0.589,0.319,0.0394
213,377,14937,1996,How Bizarre,OMC,3:47,New Zealand,78,How Bizarre,['OMC'],1996,1996-01-01,224200,0.8240000000000001,0.7829999999999999,0.0469
214,381,33802,1996,Naked Eye,Luscious Jackson,4:43,USA,82,Naked Eye,['Luscious Jackson'],1996,1996-01-01,280693,0.76,0.737,0.0284
215,498,33802,1997,Naked Eye,Luscious Jackson,4:43,USA,99,Naked Eye,['Luscious Jackson'],1996,1996-01-01,280693,0.76,0.737,0.0284
216,385,103890,1996,Woman,Neneh Cherry,4:31,Sweden,86,Woman,['Neneh Cherry'],1996,1996-01-01,270400,0.33,0.542,0.0261
217,386,104019,1996,E-Bow The Letter,R.E.M.,5:25,USA,87,E-Bow The Letter,['R.E.M.'],1996,1996-01-01,324827,0.312,0.349,0.033
218,396,135785,1996,Hail Caesar,AC/DC,5:14,Australia,97,Hail Caesar,['AC/DC'],1995,1995-09-22,314427,0.6559999999999999,0.475,0.0421
219,398,33903,1996,Ready To Go,Republica,5:01,England,99,Ready to Go,['Republica'],1996,1996-07-30,301067,0.23600000000000002,0.5589999999999999,0.0568
220,400,170654,1997,No   Aphrodisiac,The Whitlams,4:20,Australia,1,No Aphrodisiac,['The Whitlams'],1997,1997-12-14,260000,0.644,0.363,0.0422
221,401,15764,1997,Song 2,Blur,2:01,England,2,Song 2,['Blur'],2000,2000-10-23,121880,0.855,0.6579999999999999,0.0904
222,402,15058,1997,Tubthumping,Chumbawamba,3:34,England,3,Tubthumping,['Chumbawamba'],1997,1997-01-01,278960,0.622,0.263,0.131
223,403,15011,1997,Bitter Sweet Symphony,The Verve,5:59,England,4,Bitter Sweet Symphony,['The Verve'],1997,1997-09-29,357267,0.518,0.35600000000000004,0.0479
224,405,15024,1997,Dammit,Blink-182,2:47,USA,6,Dammit,['blink-182'],1997,1997,165373,0.341,0.426,0.0954
225,406,15097,1997,Paranoid Android,Radiohead,6:24,England,7,Paranoid Android,['Radiohead'],1997,1997-05-28,387213,0.19399999999999998,0.252,0.0581
226,407,14819,1997,The Beautiful People,Marilyn Manson,3:39,USA,8,The Beautiful People,['Marilyn Manson'],1996,1996,218827,0.937,0.621,0.0557
227,408,15029,1997,Karma Police,Radiohead,4:22,England,9,Karma Police,['Radiohead'],1997,1997-05-28,264067,0.317,0.36,0.026000000000000002
228,410,15077,1997,Walkin' On The Sun,Smash Mouth,3:28,USA,11,Walkin' On The Sun,['Smash Mouth'],1997,1997-07-08,207787,0.968,0.745,0.0316
229,411,104214,1997,One Angry Dwarf And 200 Solemn   Faces,Ben Folds Five,3:52,USA,12,One Angry Dwarf and 200 Solemn Faces,['Ben Folds Five'],1997,1997-03-18,232333,0.5820000000000001,0.39299999999999996,0.0371
230,412,34003,1997,Freak,Silverchair,3:49,Australia,13,Freak,['Silverchair'],1997,1997,226107,0.406,0.539,0.0653
231,414,88016,1997,Prisoner Of Society,The Living End,3:55,Australia,15,Prisoner of Society,['The Living End'],1999,1999-01-15,229067,0.19,0.275,0.138
232,415,88063,1997,Everybody's Free (To Wear   Sunscreen),Quindon Tarver,7:10,USA,16,Everybody's Free (To Wear Sunscreen),"['Quindon Tarver', 'Josh Abrahams']",1999,1999-01-01,309133,0.8009999999999999,0.8270000000000001,0.363
233,417,33946,1997,Into My Arms,Nick Cave & The Bad Seeds,4:15,Australia,18,Into My Arms - 2011 Remastered Version,['Nick Cave & The Bad Seeds'],1997,1997,256120,0.21899999999999997,0.484,0.0394
234,419,14966,1997,I Will Survive,Cake,5:11,USA,20,I Will Survive,['Cake'],1996,1996-09-17,310600,0.9009999999999999,0.507,0.0316
235,420,15048,1997,Monkey Wrench,Foo Fighters,3:54,USA,21,Monkey Wrench,['Foo Fighters'],1997,1997-05-20,231480,0.555,0.401,0.0752
236,421,34047,1997,The Drugs Don't Work,The Verve,5:05,England,22,The Drugs Don't Work,['The Verve'],1997,1997-09-29,304880,0.177,0.442,0.0261
237,422,103926,1997,Calypso,Spiderbait,1:51,Australia,23,Calypso,['Spiderbait'],1996,1996,111293,0.306,0.38299999999999995,0.0345
238,423,14934,1997,A.D.I.D.A.S.,Korn,2:33,USA,24,A.D.I.D.A.S.,['Korn'],1996,1996-10-15,153600,0.226,0.33399999999999996,0.196
239,424,15198,1997,Hitchin' A Ride,Green Day,2:52,USA,25,Hitchin' a Ride,['Green Day'],1997,1997-10-14,171467,0.684,0.424,0.1
240,425,15188,1997,The Perfect Drug,Nine Inch Nails,5:16,USA,26,The Perfect Drug,['Nine Inch Nails'],1997,1997-02-18,315440,0.252,0.627,0.0947
241,428,15006,1997,Semi-Charmed Life,Third Eye Blind,4:27,USA,29,Semi-Charmed Life,['Third Eye Blind'],1997,1997-04-08,268360,0.7,0.64,0.0315
242,429,14827,1997,Forty Six & 2,Tool,6:04,USA,30,Forty Six & 2,['TOOL'],1996,1996-09-17,363067,0.391,0.375,0.0364
243,430,70509,1997,Ashes To Ashes,Faith No More,3:36,USA,31,Ashes to Ashes - 2016 Remaster,['Faith No More'],1997,1997,216200,0.313,0.5720000000000001,0.0274
244,434,70450,1997,Summertime,The Sundays,3:31,England,35,Summertime,['The Sundays'],1997,1997-01-01,213493,0.802,0.617,0.0338
245,435,52667,1997,Mutilated Lips,Ween,3:49,USA,36,Mutilated Lips,['Ween'],1997,1997-04-18,228800,0.361,0.565,0.0273
246,437,33944,1997,The Memory Remains,Metallica,4:39,USA,38,The Memory Remains,['Metallica'],1997,1997-11-18,279240,0.6,0.4320000000000001,0.0432
247,439,103975,1997,Why's Everybody Always Pickin'   On Me?,Bloodhound Gang,3:22,USA,40,Why's Everybody Always Pickin' On Me?,['Bloodhound Gang'],1996,1996-01-01,202093,0.961,0.877,0.0426
248,440,165885,1997,Deadweight,Beck,6:12,USA,41,Deadweight,['Beck'],1996,1996-06-18,372387,0.733,0.687,0.114
249,441,87686,1997,Brimful Of Asha,Cornershop,4:08,England,42,Brimful of Asha,['Cornershop'],1997,1997,317027,0.932,0.807,0.0325
250,445,33765,1997,Fire Water Burn,Bloodhound Gang,4:52,USA,46,Fire Water Burn,['Bloodhound Gang'],1996,1996-01-01,291800,0.613,0.687,0.0316
251,446,52787,1997,(Can't You) Trip Like I Do,Filter & The Crystal Method,4:29,USA,47,(Can't You) Trip Like I Do,"['Filter', 'The Crystal Method']",1997,1997-07-29,268800,0.166,0.34299999999999997,0.22399999999999998
252,450,87658,1997,So Much For The Afterglow,Everclear,3:54,USA,51,So Much For The Afterglow,['Everclear'],1997,1997-10-07,233867,0.10800000000000001,0.349,0.369
253,451,33668,1997,#1 Crush (Nellee Hooper Mix),Garbage,4:47,USA,52,#1 Crush - Nellee Hooper Mix,"['Garbage', 'Nellee Hooper']",1995,1995,290507,0.488,0.643,0.0236
254,453,33958,1997,Everything To Everyone,Everclear,3:20,USA,54,Everything To Everyone,['Everclear'],1997,1997-10-07,200267,0.7959999999999999,0.6459999999999999,0.0473
255,458,15162,1997,Your Woman,White Town,4:20,England,59,Your Woman,['White Town'],1997,1997-02-24,259893,0.795,0.815,0.0368
256,460,106395,1997,Block Rockin' Beats,The Chemical Brothers,5:15,England,61,Block Rockin' Beats,['The Chemical Brothers'],2008,2008-01-01,294027,0.809,0.606,0.06
257,463,165982,1997,Stripsearch,Faith No More,4:31,USA,64,Stripsearch,['Faith No More'],1997,1997-06-03,269893,0.526,0.645,0.0255
258,464,87550,1997,The Outdoor Type,The Lemonheads,2:35,USA,65,The Outdoor Type,['The Lemonheads'],1996,1996,156293,0.564,0.441,0.0283
259,466,151150,1997,I Choose,The Offspring,3:55,USA,67,I Choose,['The Offspring'],1997,1997-02-04,234667,0.47700000000000004,0.539,0.10300000000000001
260,467,33785,1997,Cosmic Girl,Jamiroquai,4:04,England,68,Cosmic Girl - Remastered,['Jamiroquai'],1996,1996-09-09,244147,0.925,0.633,0.0495
261,468,52742,1997,Waving My Dick In The Wind,Ween,2:13,USA,69,Waving My Dick in the Wind,['Ween'],1997,1997-04-18,131733,0.948,0.647,0.0424
262,469,136351,1997,Place Your Hands,Reef,3:38,England,70,Place Your Hands,['Reef'],1997,1997-01-01,218427,0.534,0.507,0.087
263,472,34080,1997,Lakini's Juice,Live,4:59,USA,73,Lakini's Juice,['Live'],1997,1997-01-01,299267,0.3670000000000001,0.375,0.0441
264,473,34701,1997,The Ghost Of Tom Joad,Rage Against The Machine,5:39,USA,74,The Ghost of Tom Joad,['Rage Against The Machine'],2000,2000-12-05,338333,0.20600000000000002,0.313,0.345
265,474,120192,1997,Female Of The Species,Space,3:17,England,75,Female of the Species,['Space'],1996,1996-09-16,199067,0.677,0.654,0.027000000000000003
266,476,14842,1997,Lovefool,The Cardigans,3:19,Sweden,77,Lovefool,['The Cardigans'],1996,1996-09-17,193893,0.951,0.64,0.0299
267,478,52765,1997,All Mine,Portishead,4:02,England,79,All Mine,['Portishead'],1997,1997-01-01,240640,0.342,0.601,0.0403
268,481,104301,1997,Shake Hands With Beef,Primus,4:03,USA,82,Shake Hands With Beef,['Primus'],1998,1998-01-01,243040,0.7829999999999999,0.807,0.0617
269,486,33721,1997,6 Underground,Sneaker Pimps,3:49,England,87,6 Underground,['Sneaker Pimps'],1996,1996-08-18,228840,0.402,0.5870000000000001,0.0509
270,488,70625,1997,Not If You Were The Last   Junkie On Earth,The Dandy Warhols,3:12,USA,89,Not If You Were The Last Junkie On Earth,['The Dandy Warhols'],1997,1997-01-01,191933,0.47200000000000003,0.45,0.0371
271,489,70512,1997,Society,Pennywise,3:25,USA,90,Society,['Pennywise'],1997,1997-04-22,204787,0.677,0.44799999999999995,0.0551
272,490,165986,1997,Remember Me,Blue Boy,3:58,Scotland,91,Remember Me - Original Mix,['Blue Boy'],1997,1997-03-03,424307,0.963,0.88,0.0422
273,495,14872,1997,Bound For The Floor,Local H,3:42,USA,96,Bound For The Floor,['Local H'],1996,1996-01-01,222960,0.584,0.654,0.0556
274,497,33943,1997,Da Funk,Daft Punk,5:30,France,98,Da Funk,['Daft Punk'],1997,1997-01-16,328680,0.892,0.8059999999999999,0.0752
275,500,15241,1998,Pretty   Fly (For A White Guy),The Offspring,3:09,USA,1,Pretty Fly (For A White Guy),['The Offspring'],1998,1998-11-16,188667,0.963,0.723,0.102
276,503,15273,1998,Celebrity Skin,Hole,2:43,USA,4,Celebrity Skin,['Hole'],1998,1998-01-01,162667,0.723,0.43799999999999994,0.0419
277,504,15243,1998,Got The Life,Korn,3:45,USA,5,Got the Life,['Korn'],1998,1998-08-18,225307,0.584,0.501,0.0518
278,510,13073,1998,Sweetest Thing,U2,3:01,Ireland,11,Sweetest Thing,['U2'],1987,1987-03-03,184543,0.48200000000000004,0.524,0.0497
279,511,15156,1998,Brick,Ben Folds Five,4:32,USA,12,Brick,['Ben Folds Five'],1997,1997-03-18,271720,0.267,0.542,0.025
280,512,52850,1998,Doctor Worm,They Might Be Giants,3:02,USA,13,Doctor Worm,['They Might Be Giants'],1998,1998,181533,0.713,0.537,0.0306
281,513,34004,1998,Josie,Blink-182,3:21,USA,14,Josie,['blink-182'],1997,1997,199827,0.611,0.435,0.105
282,520,37079,1998,Sex And Candy,Marcy Playground,2:52,USA,21,Sex And Candy,['Marcy Playground'],2012,2012-01-01,172486,0.515,0.55,0.0281
283,522,15298,1998,Teardrop,Massive Attack,5:31,England,23,Teardrop,['Massive Attack'],1998,1998-01-01,330773,0.21600000000000005,0.615,0.0395
284,524,15231,1998,Intergalactic,Beastie Boys,3:52,USA,25,Intergalactic - Remastered,['Beastie Boys'],1998,1998-07-14,231493,0.47,0.7340000000000001,0.303
285,528,87770,1998,Everybody Here Wants You,Jeff Buckley,4:47,USA,29,Everybody Here Wants You,['Jeff Buckley'],1998,1998-05-26,286707,0.606,0.725,0.0368
286,529,15288,1998,Never There,Cake,2:44,USA,30,Never There,['Cake'],1998,1998-02-05,164267,0.5920000000000001,0.7609999999999999,0.043
287,533,15215,1998,One Week,Barenaked Ladies,2:49,Canada,34,One Week,['Barenaked Ladies'],1998,1998-07-07,169760,0.731,0.7020000000000001,0.0373
288,534,15026,1998,Flagpole Sitta,Harvey Danger,3:36,USA,35,Flagpole Sitta,['Harvey Danger'],1997,1997-01-01,217267,0.48200000000000004,0.361,0.0443
289,537,15044,1998,The Impression That I Get,The Mighty Mighty Bosstones,3:14,USA,38,The Impression That I Get,['The Mighty Mighty Bosstones'],1997,1997-01-01,194760,0.696,0.418,0.11800000000000001
290,538,70713,1998,Somebody Kill Me,Adam Sandler,1:53,USA,39,Somebody Kill Me,['Adam Sandler'],1998,1998,112859,0.94,0.851,0.4320000000000001
291,539,136174,1998,Song For The Dumped,Ben Folds Five,3:40,USA,40,Song for the Dumped,['Ben Folds Five'],1997,1997-03-18,231867,0.594,0.5489999999999999,0.0445
292,540,34285,1998,Pure Morning,Placebo,4:15,England,41,Pure Morning,['Placebo'],1998,1998-10-12,254760,0.20199999999999999,0.387,0.0675
293,543,15329,1998,The Dope Show,Marilyn Manson,3:47,USA,44,The Dope Show,['Marilyn Manson'],1998,1998-09-14,226733,0.376,0.562,0.0379
294,544,34281,1998,Ava Adore,The Smashing Pumpkins,4:31,USA,45,Ava Adore,['The Smashing Pumpkins'],1998,1998,270893,0.7909999999999999,0.604,0.0597
295,546,34242,1998,Do The Evolution,Pearl Jam,3:54,USA,47,Do the Evolution,['Pearl Jam'],1998,1998-02-17,231253,0.325,0.466,0.063
296,548,15397,1998,Malibu,Hole,3:50,USA,49,Malibu,['Hole'],1998,1998-01-01,230040,0.6779999999999999,0.528,0.0343
297,549,12585,1998,It's Like That,Run-D.M.C. vs. Jason Nevins,4:11,USA,50,It's Like That,['Run–D.M.C.'],1984,1984-03-27,290280,0.552,0.9640000000000001,0.147
298,550,34198,1998,Given To Fly,Pearl Jam,4:01,USA,51,Given to Fly,['Pearl Jam'],1998,1998-02-17,238867,0.341,0.317,0.0282
299,551,70459,1998,The Grouch,Green Day,2:12,USA,52,The Grouch,['Green Day'],1997,1997-10-14,132080,0.597,0.41,0.0815
300,552,15041,1998,Father Of Mine,Everclear,3:52,USA,53,Father Of Mine,['Everclear'],1997,1997-10-07,231400,0.738,0.568,0.0411
301,554,15053,1998,No Surprises,Radiohead,3:49,England,55,No Surprises,['Radiohead'],1997,1997-05-28,229120,0.11800000000000001,0.255,0.0278
302,556,34202,1998,I Think I'm Paranoid,Garbage,3:38,USA,57,I Think I'm Paranoid,['Garbage'],1998,1998-05-11,218135,0.47700000000000004,0.5589999999999999,0.033
303,558,151325,1998,History Repeating (feat. Miss   Shirley Bassey),Propellerheads,4:03,England,59,History Repeating - Knee Length Mix,"['Propellerheads', 'Shirley Bassey']",1998,1998-01-01,242533,0.7290000000000001,0.7170000000000001,0.0367
304,559,52493,1998,Untouchable Face,Ani DiFranco,3:37,USA,60,Untouchable Face,['Ani DiFranco'],1996,1996-05-01,279067,0.389,0.6809999999999999,0.0405
305,561,15080,1998,Gone Away,The Offspring,4:29,USA,62,Gone Away,['The Offspring'],1997,1997-02-04,268827,0.294,0.45,0.0806
306,562,34142,1998,The Rockafeller Skank,Fatboy Slim,6:54,England,63,The Rockafeller Skank,['Fatboy Slim'],1998,1998-01-01,413880,0.0676,0.665,0.256
307,565,34195,1998,No Shelter,Rage Against The Machine,4:04,USA,66,No Shelter,['Rage Against The Machine'],1998,1998-05-19,243760,0.467,0.598,0.0782
308,566,13820,1998,The Unforgiven II,Metallica,6:36,USA,67,The Unforgiven,['Metallica'],1991,1991-08-12,387133,0.251,0.539,0.0258
309,567,7565,1998,Every Day Should Be A Holiday,The Dandy Warhols,4:02,USA,68,Everybody's Jumpin',['The Dave Brubeck Quartet'],1959,1959-12-14,262733,0.349,0.635,0.0516
310,569,87879,1998,If You Tolerate This Then Your   Children Will Be Next,Manic Street Preachers,4:52,Wales,70,If You Tolerate This Your Children Will Be Next,['Manic Street Preachers'],1998,1998-09-14,290946,0.261,0.21899999999999997,0.0402
311,572,15351,1998,Music Sounds Better With You,Stardust,4:21,France,73,Music Sounds Better With You,['Stardust'],1998,1998-07-20,403293,0.364,0.735,0.336
312,573,15028,1998,My Hero,Foo Fighters,4:20,USA,74,My Hero,['Foo Fighters'],1997,1997-05-20,260027,0.311,0.39799999999999996,0.0567
313,574,15207,1998,Dragula,Rob Zombie,3:43,USA,75,Dragula,['Rob Zombie'],1998,1998-01-01,222827,0.609,0.591,0.0531
314,575,70479,1998,Saint Joe On The School Bus,Marcy Playground,3:20,USA,76,Saint Joe On The School Bus,['Marcy Playground'],1997,1997-01-01,200156,0.8540000000000001,0.716,0.0329
315,576,15055,1998,Fuel,Metallica,4:30,USA,77,Fuel,['Metallica'],1997,1997-11-18,269733,0.555,0.491,0.0465
316,577,15031,1998,Shimmer,Fuel,3:34,USA,78,Shimmer,['Fuel'],1997,1997,214107,0.4320000000000001,0.479,0.0421
317,580,136311,1998,Drinking In L.A.,Bran Van 3000,3:56,Canada,81,Drinking in L.A.,['Bran Van 3000'],1997,1997-04-01,236067,0.6629999999999999,0.568,0.0582
318,583,15010,1998,Good Riddance (Time Of Your   Life),Green Day,2:35,USA,84,Good Riddance (Time of Your Life),['Green Day'],1997,1997-10-14,153467,0.648,0.475,0.0302
319,586,87817,1998,Push It,Garbage,4:02,USA,87,Push It,['Garbage'],1998,1998-05-11,242533,0.892,0.564,0.0311
320,587,34307,1998,Wishlist,Pearl Jam,3:27,USA,88,Wishlist,['Pearl Jam'],1998,1998-02-17,206587,0.10099999999999999,0.623,0.038
321,588,70789,1998,Special,Garbage,3:44,USA,89,Special,['Garbage'],1998,1998-05-11,223603,0.573,0.44299999999999995,0.0377
322,593,52863,1998,Perfect,The Smashing Pumpkins,3:23,USA,94,Perfect,['The Smashing Pumpkins'],1998,1998,202853,0.54,0.644,0.0436
323,594,87883,1998,Tropicalia,Beck,3:21,USA,95,Tropicalia,['Beck'],1998,1998,200307,0.784,0.6629999999999999,0.0561
324,600,170655,1999,These   Days,Powderfinger,4:15,Australia,1,These Days,['Powderfinger'],1999,1999-08-09,255000,0.105,0.15,0.0343
325,601,170656,1999,Weir,Killing Heidi,4:05,Australia,2,Weir,['Killing Heidi'],1999,1999-10-05,245000,0.672,0.327,0.0452
326,602,170657,1999,You Shit Me To Tears,The Tenants,2:32,Australia,3,You Shit Me To Tears,['The Tenants'],1999,1998-12-05,152000,0.46799999999999997,0.436,0.0584
327,603,34256,1999,Praise You,Fatboy Slim,5:23,England,4,Praise You,['Fatboy Slim'],1998,1998-01-01,323240,0.528,0.602,0.0483
328,604,34168,1999,Every You Every Me,Placebo,3:34,England,5,Every You Every Me,['Placebo'],1998,1998-10-12,213800,0.165,0.478,0.0569
329,605,15497,1999,The Bad Touch,Bloodhound Gang,4:21,USA,6,The Bad Touch,['Bloodhound Gang'],1999,1999-10-04,260507,0.97,0.831,0.0384
330,607,15488,1999,Nookie,Limp Bizkit,4:28,USA,8,Nookie,['Limp Bizkit'],1999,1999,289560,0.284,0.573,0.08199999999999999
331,608,15463,1999,Last Kiss,Pearl Jam,3:17,USA,9,Last Kiss,['Pearl Jam'],1999,1999,195467,0.774,0.622,0.0276
332,609,15418,1999,Scar Tissue,Red Hot Chili Peppers,3:36,USA,10,Scar Tissue,['Red Hot Chili Peppers'],1999,1999-06-08,215907,0.547,0.595,0.0295
333,610,15425,1999,Learn To Fly,Foo Fighters,3:55,USA,11,Learn to Fly,['Foo Fighters'],1999,1999-11-02,235293,0.537,0.465,0.0408
334,611,87896,1999,When I Grow Up,Garbage,3:23,USA,12,When I Grow Up,['Garbage'],1998,1998-05-11,204528,0.742,0.581,0.0386
335,612,15416,1999,What's My Age Again?,Blink-182,2:26,USA,13,What's My Age Again?,['blink-182'],1999,1999-06-01,148360,0.46799999999999997,0.391,0.0692
336,614,104625,1999,Ana's Song (Open Fire),Silverchair,3:42,Australia,15,Ana's Song (Open Fire),['Silverchair'],1999,1999-03-08,222267,0.24600000000000002,0.395,0.027000000000000003
337,615,15210,1999,Freak On A Leash,Korn,4:15,USA,16,Freak On a Leash,['Korn'],1998,1998-08-18,255733,0.525,0.353,0.052000000000000005
338,616,15431,1999,Falling Away From Me,Korn,4:31,USA,17,Falling Away from Me,['Korn'],1999,1999-11-09,270920,0.17,0.46799999999999997,0.040999999999999995
339,621,70903,1999,Don't Call Me Baby,Madison Avenue,3:47,Australia,22,Don't Call Me Baby,['Madison Avenue'],1999,1999-01-01,228140,0.961,0.8079999999999999,0.0311
